,ZIP,2021_Median_Household_Income,2026_Median_Household_Income,2021_Average_Household_Income,2026_Average_Household_Income,2021-2026_Population:_Compound_Annual_Growth_Rate
0,1082,58287,64021,72955,81120,0.09
1,1083,64860,75250,78777,88780,0.32
2,1084,78138,85566,96457,112091,0.0
3,1085,68219,75742,90740,102369,0.12
4,1088,70568,77155,89768,102882,0.61
5,1089,56951,63351,81772,93179,-0.02
6,1092,88516,102339,96660,111426,0.42
7,1093,69815,75000,106591,122548,0.27
8,1094,72749,85990,91968,104729,0.11
9,1095,111472,119982,142089,160260,0.19
10,1096,87618,98617,100784,113689,0.5
11,1098,78830,86222,96950,110841,0.77
12,1001,68392,76174,87293,98284,0.08
13,1002,63315,71008,93933,104369,0.27
14,1003,7500,7500,12124,13505,0.0
15,1005,77915,88169,107888,123463,0.52
16,1007,97576,104725,115051,128399,0.53
17,1008,78231,88788,100824,117958,0.44
18,1009,80112,83223,82921,93154,0.26
19,1010,89967,100046,106886,124961,0.38
20,1011,82487,91279,97449,112796,0.28
21,1012,76925,85772,96457,111752,0.1
22,1013,47327,52303,62484,70665,0.07
23,1020,60551,66590,74411,82956,-0.01
24,1022,52204,55404,72988,81706,0.02
25,1026,61056,68400,75802,87181,0.34
26,1027,68606,75301,84591,94229,0.11
27,1028,95958,103734,118590,134666,0.29
28,1029,66155,74519,92254,109374,-0.5
29,1030,85708,96325,107632,121497,0.17
30,1031,50563,54764,76507,87218,0.22
31,1032,90077,101906,94503,106719,0.54
32,1033,101067,108501,112196,126221,0.15
33,1034,96742,103687,111530,127976,0.25
34,1035,74280,83776,101462,115008,0.31
35,1036,93546,107273,121093,139248,0.29
36,1037,73416,83715,91357,104301,0.15
37,1038,72249,80570,96615,111318,0.58
38,1039,78096,87162,109920,124961,0.25
39,1040,43470,49334,65436,73511,0.0
40,1050,69350,77119,78521,88107,0.48
41,1053,78156,86064,104420,119570,0.69
42,1054,92421,99343,123708,138162,-0.28
43,1056,76233,83004,93813,105526,0.22
44,1057,87097,99545,107542,123560,-0.06
45,1060,64175,71965,92219,103763,0.3
46,1062,78934,83932,99712,111949,0.49
47,1063,75000,90464,110236,125593,0.0
48,1068,91530,99530,108053,122292,0.39
49,1069,71114,78438,87556,98520,0.07
50,1070,59852,67169,86775,101641,0.0
51,1071,75905,84085,84967,99184,0.1
52,1072,82471,88543,98428,108852,-0.08
53,1073,103260,111606,122628,138899,0.47
54,1074,80998,83093,94452,105208,0.23
55,1075,73832,80859,92864,104041,0.12
56,1077,85982,92653,111247,127034,0.18
57,1079,54758,61699,80954,95398,0.1
58,1080,60147,67915,74011,83741,0.13
59,1081,61689,71805,78090,93353,0.47
60,1103,16775,18517,33120,36297,0.84
61,1104,35863,39429,53950,61353,0.09
62,1105,19653,21970,34797,38709,0.1
63,1106,120099,131797,162993,182164,-0.15
64,1107,25982,29619,45013,50921,0.08
65,1108,44286,50088,62007,69412,0.16
66,1109,36905,40615,50714,57157,0.05
67,1118,67082,74477,83132,92762,-0.1
68,1119,50894,55682,63465,71912,0.01
69,1128,74146,82157,89063,99190,-0.23
70,1129,63205,68972,80820,90864,0.06
71,1151,41476,45089,54067,59884,0.16
72,1201,53568,57060,73943,81877,-0.42
73,1220,54297,58612,71445,79702,-0.44
74,1222,84453,94430,97335,111126,-0.1
75,1223,77495,84888,95641,108820,-0.1
76,1224,88958,101116,113195,130772,-0.26
77,1225,67234,74260,79868,89621,-0.12
78,1226,60733,64839,90123,100101,-0.36
79,1230,70567,80031,98279,112453,-0.08
80,1235,68484,74939,90317,102971,-0.25
81,1236,57746,66424,92192,107634,-0.21
82,1237,78225,84628,95989,107503,-0.1
83,1238,74577,82236,92922,103831,-0.19
84,1240,70522,80066,112255,128545,-0.18
85,1242,96210,103092,112807,125376,-0.21
86,1243,80532,87125,97479,110542,0.74
87,1244,54545,69080,96965,113627,0.0
88,1245,76732,85626,107994,124530,-0.4
89,1247,45837,51088,62797,71588,-0.47
90,1253,80425,88976,101873,117076,-0.42
91,1254,92261,102807,135310,154463,-0.26
92,1255,74493,83440,99374,113761,-0.02
93,1256,60731,67327,80737,94664,-0.2
94,1257,78999,98042,108250,129202,-0.17
95,1258,66770,71817,104779,121093,0.21
96,1259,72614,85593,104196,121980,-0.07
97,1262,39440,45161,79481,91909,-0.4
98,1264,90757,103164,136682,153818,-0.4
99,1266,80566,90381,116985,134743,-0.29
100,1267,86180,98681,110432,124935,-0.17
101,1270,91279,93652,118308,131826,-0.48
102,1301,50968,53894,66646,73717,-0.25
103,1330,69588,76471,97882,111225,0.24
104,1331,59692,66719,73937,83489,0.36
105,1337,63992,70476,89134,103194,-0.27
106,1338,73709,82764,95951,109627,0.0
107,1339,58892,66304,75440,86929,-0.01
108,1340,59509,66564,75628,88418,-0.07
109,1341,102505,113058,123940,142215,-0.18
110,1342,92512,100809,98698,108730,-0.21
111,1343,63893,71848,74350,84217,-0.56
112,1344,62166,68755,73595,81288,-0.33
113,1346,57886,65001,82281,97351,-0.35
114,1349,62504,65746,75917,82711,-0.24
115,1350,50000,60207,66597,77879,0.0
116,1351,79563,84731,91044,100642,-0.01
117,1354,66992,66698,84325,89359,-0.36
118,1355,70230,75000,84392,94304,-0.39
119,1360,76274,83082,90317,99896,-0.36
120,1364,47830,53295,63775,72070,-0.22
121,1366,73504,82016,102634,121090,0.66
122,1367,51761,59824,67983,79926,-0.18
123,1368,78796,90375,87583,101823,0.29
124,1370,60294,65381,81636,92201,-0.1
125,1373,75813,82293,100176,111559,-0.15
126,1375,57168,61325,74817,84139,-0.25
127,1376,44600,50266,58847,65141,-0.32
128,1378,62050,67768,73486,83010,-0.31
129,1379,50909,56825,61339,71552,-0.02
130,1420,57213,61586,74949,83033,0.3
131,1430,98598,106193,124242,141168,0.42
132,1431,104420,113977,124425,143637,0.44
133,1432,90162,101422,113235,123818,0.54
134,1434,109671,109900,147259,154302,0.02
135,1436,77060,83036,90209,99522,0.16
136,1440,53266,57792,70418,79245,0.23
137,1450,146882,158666,181673,200689,0.79
138,1451,159886,170687,232539,254750,0.63
139,1452,99934,106731,119140,135480,0.41
140,1453,63621,71899,83861,94523,0.22
141,1460,135039,153103,166955,186995,0.82
142,1462,107445,115678,126986,142821,0.62
143,1463,104289,113436,129923,146865,0.52
144,1464,78490,92538,114451,132435,0.68
145,1468,76509,82275,92735,104344,0.73
146,1469,99841,107193,126531,142835,0.49
147,1473,105245,115410,124436,140289,0.71
148,1474,90466,98768,122972,139805,0.55
149,1475,79024,87828,88822,99520,0.31
150,1501,88065,99612,110654,124156,0.23
151,1503,106912,117987,141830,162261,1.38
152,1504,96135,105990,113726,128687,0.34
153,1505,104327,114412,140705,158780,0.69
154,1506,74572,86314,101271,117136,0.4
155,1507,103247,113944,123849,141805,0.58
156,1510,74546,80144,88272,98058,0.38
157,1515,84878,93440,101331,114220,0.88
158,1516,102216,109654,117246,130428,0.68
159,1518,83757,91992,112421,129209,0.63
160,1519,117477,131004,152350,173582,0.44
161,1520,111674,123787,139262,156486,0.56
162,1521,90434,100473,104167,118707,0.45
163,1522,110103,116980,127357,141609,0.61
